Product,Demand_Forecast,Current_Inventory,Supply_Readiness,Lead_Time_Days,Confirmed_Orders,Year,Month,Week,Revenue_Status,Date
Truck Engine,1940,2372,1,4,885,2023,1,52,0,1/1/2023
Truck Engine,1691,4911,1,3,2097,2023,1,1,1,1/8/2023
Truck Engine,1566,4850,1,12,2254,2023,1,2,1,1/15/2023
Truck Engine,784,1872,0,10,904,2023,1,3,1,1/22/2023
Truck Engine,2944,2252,1,10,745,2023,1,4,0,1/29/2023
Truck Engine,511,3317,0,3,1241,2023,2,5,1,2/5/2023
Truck Engine,2130,2851,0,14,2114,2023,2,6,0,2/12/2023
Truck Engine,1253,3845,1,13,1160,2023,2,7,0,2/19/2023
Truck Engine,2582,2314,1,10,1149,2023,2,8,0,2/26/2023
Truck Engine,589,1724,1,11,1994,2023,3,9,1,3/5/2023
Truck Engine,1275,4236,0,6,2349,2023,3,10,1,3/12/2023
Truck Engine,2125,3052,1,3,2411,2023,3,11,1,3/19/2023
Truck Engine,917,3898,1,3,1946,2023,3,12,1,3/26/2023
Truck Engine,614,4450,1,5,1400,2023,4,13,1,4/2/2023
Truck Engine,1116,1077,1,7,564,2023,4,14,0,4/9/2023
Truck Engine,1325,4481,1,7,1536,2023,4,15,1,4/16/2023
Truck Engine,2149,3621,1,11,712,2023,4,16,0,4/23/2023
Truck Engine,2016,1131,1,12,741,2023,4,17,0,4/30/2023
Truck Engine,912,1600,1,14,992,2023,5,18,1,5/7/2023
Truck Engine,1228,2772,1,4,1736,2023,5,19,1,5/14/2023
Truck Engine,1175,2065,1,4,2216,2023,5,20,1,5/21/2023
Truck Engine,2392,3136,1,8,837,2023,5,21,0,5/28/2023
Truck Engine,2739,3449,1,11,672,2023,6,22,0,6/4/2023
Truck Engine,1622,3343,1,3,1171,2023,6,23,0,6/11/2023
Truck Engine,2071,2863,1,11,663,2023,6,24,0,6/18/2023
Truck Engine,1477,2318,1,11,964,2023,6,25,0,6/25/2023
Truck Engine,1508,1615,1,11,1494,2023,7,26,0,7/2/2023
Truck Engine,2643,4597,1,7,996,2023,7,27,0,7/9/2023
Truck Engine,2187,3847,1,11,1199,2023,7,28,0,7/16/2023
Truck Engine,536,4762,1,13,894,2023,7,29,1,7/23/2023
Truck Engine,2048,4708,1,6,1202,2023,7,30,0,7/30/2023
Truck Engine,2826,3469,1,4,2440,2023,8,31,0,8/6/2023
Truck Engine,2764,2888,1,8,807,2023,8,32,0,8/13/2023
Truck Engine,1372,2046,0,6,2291,2023,8,33,1,8/20/2023
Truck Engine,2321,1574,0,8,682,2023,8,34,0,8/27/2023
Truck Engine,1796,3190,1,5,1128,2023,9,35,0,9/3/2023
Truck Engine,2609,1992,1,8,2317,2023,9,36,0,9/10/2023
Truck Engine,1095,3712,0,4,1009,2023,9,37,0,9/17/2023
Truck Engine,2403,3192,0,4,2231,2023,9,38,0,9/24/2023
Truck Engine,1228,2248,0,11,1045,2023,10,39,0,10/1/2023
Truck Engine,1865,4054,0,9,2087,2023,10,40,1,10/8/2023
Truck Engine,896,1502,0,5,1123,2023,10,41,1,10/15/2023
Truck Engine,1198,2997,1,13,2287,2023,10,42,1,10/22/2023
Truck Engine,2724,1820,1,3,1093,2023,10,43,0,10/29/2023
Truck Engine,2135,4687,0,10,1243,2023,11,44,0,11/5/2023
Truck Engine,895,3151,1,8,1750,2023,11,45,1,11/12/2023
Truck Engine,2992,4110,0,9,2268,2023,11,46,0,11/19/2023
Truck Engine,575,2970,1,11,2256,2023,11,47,1,11/26/2023
Truck Engine,764,1197,1,7,1959,2023,12,48,1,12/3/2023
Truck Engine,2319,2669,1,3,2448,2023,12,49,1,12/10/2023
Truck Engine,1217,3626,0,14,1945,2023,12,50,1,12/17/2023
Truck Engine,1350,3438,1,12,1053,2023,12,51,0,12/24/2023
Truck Engine,1890,2202,0,9,520,2023,12,52,0,12/31/2023
Bus Engine,643,3601,1,7,1053,2021,1,53,1,1/3/2021
Bus Engine,1384,2471,1,5,896,2021,1,1,0,1/10/2021
Bus Engine,895,4571,1,14,1124,2021,1,2,1,1/17/2021
Bus Engine,1992,4086,0,11,604,2021,1,3,0,1/24/2021
Bus Engine,1667,2646,1,3,691,2021,1,4,0,1/31/2021
Bus Engine,1562,2692,0,3,516,2021,2,5,0,2/7/2021
Bus Engine,2656,2312,0,3,1643,2021,2,6,0,2/14/2021
Bus Engine,1565,3035,1,5,892,2021,2,7,0,2/21/2021
Bus Engine,1709,1477,0,14,924,2021,2,8,0,2/28/2021
Bus Engine,2945,2254,1,8,628,2021,3,9,0,3/7/2021
Bus Engine,1133,1922,1,12,1653,2021,3,10,1,3/14/2021
Bus Engine,1656,1419,0,13,1071,2021,3,11,0,3/21/2021
Bus Engine,1738,3204,1,5,2083,2021,3,12,1,3/28/2021
Bus Engine,1232,3597,1,10,528,2021,4,13,0,4/4/2021
Bus Engine,734,4512,1,12,1620,2021,4,14,1,4/11/2021
Bus Engine,1250,2120,1,4,1533,2021,4,15,1,4/18/2021
Bus Engine,1453,4068,1,11,741,2021,4,16,0,4/25/2021
Bus Engine,2042,4044,1,5,2349,2021,5,17,1,5/2/2021
Bus Engine,1697,4482,1,7,2479,2021,5,18,1,5/9/2021
Bus Engine,2176,1950,0,12,731,2021,5,19,0,5/16/2021
Bus Engine,1691,3336,1,10,1288,2021,5,20,0,5/23/2021
Bus Engine,2717,2277,1,4,1807,2021,5,21,0,5/30/2021
Bus Engine,1916,3243,0,8,1214,2021,6,22,0,6/6/2021
Bus Engine,1717,3645,1,14,1258,2021,6,23,0,6/13/2021
Bus Engine,2040,2857,0,7,1301,2021,6,24,0,6/20/2021
Bus Engine,2576,4593,0,12,1275,2021,6,25,0,6/27/2021
Bus Engine,1945,1516,1,11,2478,2021,7,26,1,7/4/2021
Bus Engine,2886,2658,0,14,1225,2021,7,27,0,7/11/2021
Bus Engine,2019,2865,1,7,699,2021,7,28,0,7/18/2021
Bus Engine,1888,3912,1,4,1444,2021,7,29,0,7/25/2021
Bus Engine,2356,2141,1,7,578,2021,8,30,0,8/1/2021
Bus Engine,1865,3853,1,14,2436,2021,8,31,1,8/8/2021
Bus Engine,999,2932,0,6,1455,2021,8,32,1,8/15/2021
Bus Engine,2180,4230,1,13,2378,2021,8,33,1,8/22/2021
Bus Engine,1010,1814,1,9,1355,2021,8,34,1,8/29/2021
Bus Engine,716,3275,1,8,1696,2021,9,35,1,9/5/2021
Bus Engine,1824,2900,0,4,966,2021,9,36,0,9/12/2021
Bus Engine,1655,3263,1,14,1080,2021,9,37,0,9/19/2021
Bus Engine,2327,3995,1,13,1939,2021,9,38,0,9/26/2021
Bus Engine,2310,4767,1,13,1439,2021,10,39,0,10/3/2021
Bus Engine,2992,3062,1,7,948,2021,10,40,0,10/10/2021
Bus Engine,1705,4228,1,9,586,2021,10,41,0,10/17/2021
Bus Engine,2714,4719,1,13,600,2021,10,42,0,10/24/2021
Bus Engine,590,4332,1,9,1531,2021,10,43,1,10/31/2021
Bus Engine,1213,4228,0,7,1344,2021,11,44,1,11/7/2021
Bus Engine,2381,3094,1,14,1723,2021,11,45,0,11/14/2021
Bus Engine,538,3371,1,11,2028,2021,11,46,1,11/21/2021
Bus Engine,672,3891,1,6,586,2021,11,47,0,11/28/2021
Bus Engine,1152,4756,1,13,542,2021,12,48,0,12/5/2021
Bus Engine,1253,1129,0,5,1908,2021,12,49,1,12/12/2021
Bus Engine,1743,4482,1,6,2144,2021,12,50,1,12/19/2021
Bus Engine,1581,1094,0,7,1958,2021,12,51,1,12/26/2021
Bus Engine,2183,3674,1,8,907,2022,1,52,0,1/2/2022
Bus Engine,955,3802,0,5,2006,2022,1,1,1,1/9/2022
Bus Engine,1328,2955,1,4,1163,2022,1,2,0,1/16/2022
Bus Engine,1394,4363,1,6,1540,2022,1,3,1,1/23/2022
Bus Engine,1884,1793,1,7,2168,2022,1,4,1,1/30/2022
Bus Engine,2458,2834,0,6,647,2022,2,5,0,2/6/2022
Bus Engine,2934,4354,0,13,776,2022,2,6,0,2/13/2022
Bus Engine,2496,3116,0,14,731,2022,2,7,0,2/20/2022
Bus Engine,2895,2683,1,5,2349,2022,2,8,0,2/27/2022
Bus Engine,689,1010,0,10,2450,2022,3,9,1,3/6/2022
Bus Engine,1004,4325,1,12,865,2022,3,10,0,3/13/2022
Bus Engine,1714,2865,1,6,1751,2022,3,11,1,3/20/2022
Bus Engine,2031,3919,0,4,2174,2022,3,12,1,3/27/2022
Bus Engine,1323,3597,1,4,935,2022,4,13,0,4/3/2022
Bus Engine,1428,4205,1,3,898,2022,4,14,0,4/10/2022
Bus Engine,1433,1711,0,6,1734,2022,4,15,1,4/17/2022
Bus Engine,1640,3070,1,12,1914,2022,4,16,1,4/24/2022
Bus Engine,633,1814,1,11,998,2022,5,17,1,5/1/2022
Bus Engine,2605,1345,1,13,1039,2022,5,18,0,5/8/2022
Bus Engine,1184,3349,1,9,1062,2022,5,19,0,5/15/2022
Bus Engine,2720,1362,1,14,2014,2022,5,20,0,5/22/2022
Bus Engine,2352,3443,1,12,941,2022,5,21,0,5/29/2022
Bus Engine,1314,3265,1,9,1784,2022,6,22,1,6/5/2022
Bus Engine,1672,3188,1,9,1272,2022,6,23,0,6/12/2022
Bus Engine,579,4687,1,10,849,2022,6,24,1,6/19/2022
Bus Engine,702,4005,1,3,1875,2022,6,25,1,6/26/2022
Bus Engine,1752,4281,0,12,1019,2022,7,26,0,7/3/2022
Bus Engine,2199,1984,0,12,1843,2022,7,27,0,7/10/2022
Bus Engine,1750,4040,0,10,637,2022,7,28,0,7/17/2022
Bus Engine,2182,4694,1,6,2073,2022,7,29,0,7/24/2022
Bus Engine,2055,2639,0,6,2146,2022,7,30,1,7/31/2022
Bus Engine,2594,1827,1,6,1491,2022,8,31,0,8/7/2022
Bus Engine,1756,3730,0,8,867,2022,8,32,0,8/14/2022
Bus Engine,2049,4531,1,9,1743,2022,8,33,0,8/21/2022
Bus Engine,1666,4051,0,8,1860,2022,8,34,1,8/28/2022
Bus Engine,1896,1355,1,3,1746,2022,9,35,0,9/4/2022
Bus Engine,970,4055,1,14,2171,2022,9,36,1,9/11/2022
Bus Engine,1535,2347,1,10,2291,2022,9,37,1,9/18/2022
Bus Engine,1853,4204,1,12,859,2022,9,38,0,9/25/2022
Bus Engine,1467,3935,0,13,1420,2022,10,39,0,10/2/2022
Bus Engine,857,4876,1,9,828,2022,10,40,0,10/9/2022
Bus Engine,1167,2863,0,8,1461,2022,10,41,1,10/16/2022
Bus Engine,872,1126,1,8,962,2022,10,42,1,10/23/2022
Bus Engine,1531,4177,0,7,1445,2022,10,43,0,10/30/2022
Bus Engine,1645,4056,1,8,1462,2022,11,44,0,11/6/2022
Bus Engine,1871,1603,1,14,2084,2022,11,45,1,11/13/2022
Bus Engine,589,4870,0,11,2327,2022,11,46,1,11/20/2022
Bus Engine,1039,4449,0,12,1905,2022,11,47,1,11/27/2022
Bus Engine,1368,2928,0,11,1335,2022,12,48,0,12/4/2022
Bus Engine,540,2013,1,12,2113,2022,12,49,1,12/11/2022
Bus Engine,1239,1050,1,10,2140,2022,12,50,1,12/18/2022
Bus Engine,2446,4100,0,12,668,2022,12,51,0,12/25/2022
Bus Engine,1724,4533,1,11,716,2023,1,52,0,1/1/2023
Bus Engine,1428,4367,0,12,877,2023,1,1,0,1/8/2023
Bus Engine,2536,4368,1,10,618,2023,1,2,0,1/15/2023
Bus Engine,1424,4797,0,10,689,2023,1,3,0,1/22/2023
Bus Engine,2081,3826,0,3,1266,2023,1,4,0,1/29/2023
Bus Engine,889,2430,0,12,869,2023,2,5,0,2/5/2023
Bus Engine,2117,2792,1,13,2301,2023,2,6,1,2/12/2023
Bus Engine,755,3861,1,7,648,2023,2,7,0,2/19/2023
Bus Engine,1208,2636,1,6,2199,2023,2,8,1,2/26/2023
Bus Engine,2338,4476,0,4,1151,2023,3,9,0,3/5/2023
Bus Engine,2444,4417,1,10,2382,2023,3,10,0,3/12/2023
Bus Engine,2997,2645,1,5,2011,2023,3,11,0,3/19/2023
Bus Engine,509,3467,0,6,1269,2023,3,12,1,3/26/2023
Bus Engine,1297,2205,1,14,873,2023,4,13,0,4/2/2023
Bus Engine,1376,4030,1,9,1280,2023,4,14,0,4/9/2023
Bus Engine,1528,3872,0,12,2216,2023,4,15,1,4/16/2023
Bus Engine,1515,4072,1,11,659,2023,4,16,0,4/23/2023
Bus Engine,2324,2854,1,4,850,2023,4,17,0,4/30/2023
Bus Engine,873,1566,1,5,2435,2023,5,18,1,5/7/2023
Bus Engine,2693,3418,0,6,1811,2023,5,19,0,5/14/2023
Bus Engine,723,1935,0,12,1811,2023,5,20,1,5/21/2023
Bus Engine,1762,2934,1,3,1391,2023,5,21,0,5/28/2023
Bus Engine,2724,3708,1,9,1749,2023,6,22,0,6/4/2023
Bus Engine,2302,4502,1,4,1022,2023,6,23,0,6/11/2023
Bus Engine,1352,4016,1,7,1021,2023,6,24,0,6/18/2023
Bus Engine,562,2332,1,3,1282,2023,6,25,1,6/25/2023
Bus Engine,1740,4208,1,5,772,2023,7,26,0,7/2/2023
Bus Engine,1188,1201,1,14,1435,2023,7,27,1,7/9/2023
Bus Engine,1984,4507,0,4,1925,2023,7,28,0,7/16/2023
Bus Engine,2133,3360,1,3,682,2023,7,29,0,7/23/2023
Bus Engine,2652,1116,1,9,2492,2023,7,30,0,7/30/2023
Bus Engine,1010,4737,1,7,2188,2023,8,31,1,8/6/2023
Bus Engine,884,1936,0,3,987,2023,8,32,1,8/13/2023
Bus Engine,904,4874,0,8,2350,2023,8,33,1,8/20/2023
Bus Engine,1017,1574,0,7,1345,2023,8,34,1,8/27/2023
Bus Engine,975,3291,1,5,623,2023,9,35,0,9/3/2023
Bus Engine,2500,1536,1,14,1484,2023,9,36,0,9/10/2023
Bus Engine,2168,2625,0,9,2149,2023,9,37,0,9/17/2023
Bus Engine,2393,3122,1,13,1289,2023,9,38,0,9/24/2023
Bus Engine,1960,4877,1,12,913,2023,10,39,0,10/1/2023
Bus Engine,1213,1385,1,11,2248,2023,10,40,1,10/8/2023
Bus Engine,582,4974,0,11,1695,2023,10,41,1,10/15/2023
Bus Engine,1668,4281,1,11,1811,2023,10,42,1,10/22/2023
Bus Engine,2401,1474,1,4,1958,2023,10,43,0,10/29/2023
Bus Engine,2548,1417,0,5,1185,2023,11,44,0,11/5/2023
Bus Engine,550,3394,0,9,612,2023,11,45,1,11/12/2023
Bus Engine,1184,4600,1,7,1387,2023,11,46,1,11/19/2023
Bus Engine,1216,3687,1,4,2440,2023,11,47,1,11/26/2023
Bus Engine,1969,1938,0,5,621,2023,12,48,0,12/3/2023
Bus Engine,948,1954,1,12,2067,2023,12,49,1,12/10/2023
Bus Engine,1380,1875,1,8,1745,2023,12,50,1,12/17/2023
Bus Engine,987,1762,1,9,2154,2023,12,51,1,12/24/2023
Bus Engine,2323,2202,1,11,538,2023,12,52,0,12/31/2023
Motorcycle Engine,2581,2205,1,3,996,2021,1,53,0,1/3/2021
Motorcycle Engine,2642,1663,1,13,1279,2021,1,1,0,1/10/2021
Motorcycle Engine,2074,1024,1,9,1756,2021,1,2,0,1/17/2021
Motorcycle Engine,2701,2990,1,10,1442,2021,1,3,0,1/24/2021
Motorcycle Engine,749,2203,1,14,2053,2021,1,4,1,1/31/2021
Motorcycle Engine,1173,1709,1,5,648,2021,2,5,0,2/7/2021
Motorcycle Engine,937,4572,0,6,1920,2021,2,6,1,2/14/2021
Motorcycle Engine,2665,2879,1,12,1521,2021,2,7,0,2/21/2021
Motorcycle Engine,1270,2184,1,8,1160,2021,2,8,0,2/28/2021
Motorcycle Engine,767,3224,1,12,2161,2021,3,9,1,3/7/2021
Motorcycle Engine,2484,1284,1,9,2427,2021,3,10,0,3/14/2021
Motorcycle Engine,1577,1062,1,6,801,2021,3,11,0,3/21/2021
Motorcycle Engine,735,2002,0,10,1883,2021,3,12,1,3/28/2021
Motorcycle Engine,888,1661,0,7,737,2021,4,13,0,4/4/2021
Motorcycle Engine,1262,3713,0,3,1146,2021,4,14,0,4/11/2021
Motorcycle Engine,2348,3203,0,6,1162,2021,4,15,0,4/18/2021
Motorcycle Engine,2948,4953,1,5,735,2021,4,16,0,4/25/2021
Motorcycle Engine,1123,2492,1,11,2259,2021,5,17,1,5/2/2021
Motorcycle Engine,1752,4120,0,10,702,2021,5,18,0,5/9/2021
Motorcycle Engine,1077,1966,1,3,755,2021,5,19,0,5/16/2021
Motorcycle Engine,2622,1848,0,13,1097,2021,5,20,0,5/23/2021
Motorcycle Engine,934,2107,1,8,1161,2021,5,21,1,5/30/2021
Motorcycle Engine,2650,4432,1,11,734,2021,6,22,0,6/6/2021
Motorcycle Engine,1263,1688,0,9,1868,2021,6,23,1,6/13/2021
Motorcycle Engine,1829,1147,1,6,1033,2021,6,24,0,6/20/2021
Motorcycle Engine,2645,4701,0,3,1359,2021,6,25,0,6/27/2021
Motorcycle Engine,1858,1341,1,14,2320,2021,7,26,1,7/4/2021
Motorcycle Engine,2982,3523,1,4,2304,2021,7,27,0,7/11/2021
Motorcycle Engine,946,2086,0,14,1989,2021,7,28,1,7/18/2021
Motorcycle Engine,2517,2724,1,7,1269,2021,7,29,0,7/25/2021
Motorcycle Engine,1831,2383,0,14,1040,2021,8,30,0,8/1/2021
Motorcycle Engine,748,3608,0,13,712,2021,8,31,0,8/8/2021
Motorcycle Engine,665,1326,1,7,962,2021,8,32,1,8/15/2021
Motorcycle Engine,1858,2792,1,10,935,2021,8,33,0,8/22/2021
Motorcycle Engine,1519,2759,1,8,782,2021,8,34,0,8/29/2021
Motorcycle Engine,1041,4212,1,10,2085,2021,9,35,1,9/5/2021
Motorcycle Engine,1258,1989,1,4,2130,2021,9,36,1,9/12/2021
Motorcycle Engine,2628,3262,0,5,1986,2021,9,37,0,9/19/2021
Motorcycle Engine,2680,3482,1,8,1930,2021,9,38,0,9/26/2021
Motorcycle Engine,1296,4962,1,14,587,2021,10,39,0,10/3/2021
Motorcycle Engine,637,1951,1,12,1567,2021,10,40,1,10/10/2021
Motorcycle Engine,2731,1722,1,5,960,2021,10,41,0,10/17/2021
Motorcycle Engine,1853,4389,1,8,777,2021,10,42,0,10/24/2021
Motorcycle Engine,2375,3079,1,8,2206,2021,10,43,0,10/31/2021
Motorcycle Engine,568,3717,1,4,920,2021,11,44,1,11/7/2021
Motorcycle Engine,2600,3332,1,9,2224,2021,11,45,0,11/14/2021
Motorcycle Engine,1973,4376,1,14,1876,2021,11,46,0,11/21/2021
Motorcycle Engine,704,1428,1,4,1195,2021,11,47,1,11/28/2021
Motorcycle Engine,2673,2500,1,8,1014,2021,12,48,0,12/5/2021
Motorcycle Engine,542,1285,0,3,1202,2021,12,49,1,12/12/2021
Motorcycle Engine,2406,4215,0,5,2153,2021,12,50,0,12/19/2021
Motorcycle Engine,2658,4495,1,4,518,2021,12,51,0,12/26/2021
Motorcycle Engine,1260,4090,0,9,522,2022,1,52,0,1/2/2022
Motorcycle Engine,2642,3065,1,6,912,2022,1,1,0,1/9/2022
Motorcycle Engine,2494,1768,0,10,1553,2022,1,2,0,1/16/2022
Motorcycle Engine,2435,3637,1,8,2330,2022,1,3,0,1/23/2022
Motorcycle Engine,1399,2394,1,14,607,2022,1,4,0,1/30/2022
Motorcycle Engine,859,4246,1,12,1890,2022,2,5,1,2/6/2022
Motorcycle Engine,2219,4057,0,6,1804,2022,2,6,0,2/13/2022
Motorcycle Engine,780,1193,1,7,1651,2022,2,7,1,2/20/2022
Motorcycle Engine,2387,3549,1,11,1752,2022,2,8,0,2/27/2022
Motorcycle Engine,1166,1987,0,9,1634,2022,3,9,1,3/6/2022
Motorcycle Engine,592,2136,1,12,635,2022,3,10,1,3/13/2022
Motorcycle Engine,1171,3161,1,11,861,2022,3,11,0,3/20/2022
Motorcycle Engine,2469,4293,1,9,1709,2022,3,12,0,3/27/2022
Motorcycle Engine,560,2701,1,14,2179,2022,4,13,1,4/3/2022
Motorcycle Engine,1528,1946,0,3,2107,2022,4,14,1,4/10/2022
Motorcycle Engine,1989,1830,1,14,628,2022,4,15,0,4/17/2022
Motorcycle Engine,1103,4715,1,10,2399,2022,4,16,1,4/24/2022
Motorcycle Engine,1181,2920,0,6,1784,2022,5,17,1,5/1/2022
